#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
20.3771,1.036743,0.741908,1.053363,1.081213,0.8786145,1.104973,1.128925,0.9810142,1.15633,1.157706,1.05637,1.179936,1.17691,1.187153,1.17474
20.5295,1.036739,0.7418194,1.053364,1.0812,0.8785408,1.104967,1.128905,0.9809424,1.15632,1.157676,1.056298,1.179917,1.176871,1.187107,1.174704
20.6819,0.9701311,0.9028946,0.9701313,1.011359,0.9409288,1.01223,1.062451,0.9846117,1.06814,1.108774,0.9871027,1.126366,1.131571,0.944805,1.169746
20.8343,1.02416,0.9459922,1.02627,1.101462,1.039111,1.109092,1.16837,1.142239,1.173856,1.22163,1.228236,1.219742,1.274689,1.29213,1.268252
20.9867,1.009334,0.8842863,1.010684,1.086728,1.028872,1.092634,1.171816,1.149899,1.176513,1.215719,1.214594,1.216029,1.221552,1.270555,1.208634
21.1391,1.03569,1.049932,1.03517,1.085871,1.116489,1.083096,1.118728,1.197416,1.109094,1.147328,1.235898,1.133664,1.186554,1.217182,1.179838
21.2915,1.030247,0.7181778,1.044935,1.079659,0.7101907,1.139623,1.111092,0.7778753,1.1885,1.148511,0.884297,1.225398,1.190987,0.931743,1.304491
21.4439,0.9208393,0.7821396,0.9208468,1.007563,0.8675558,1.008845,1.059296,0.9401441,1.068025,1.093241,0.992137,1.105148,1.135883,1.048988,1.151433
21.5963,1.078253,0.9208531,1.094727,1.113013,0.9924614,1.131215,1.15799,1.078387,1.17485,1.201929,1.159291,1.213491,1.234329,1.222095,1.238144
21.7487,0.9693892,0.8605392,0.9693921,1.047,0.9594195,1.051783,1.107737,1.041973,1.1164,1.141283,1.098933,1.148679,1.166473,1.161433,1.167487
21.9011,1.029164,0.9532985,1.031643,1.104999,1.076431,1.108475,1.174988,1.175896,1.174796,1.212838,1.230151,1.208283,1.233525,1.281134,1.220089
22.0535,1.01115,0.9113896,1.012402,1.065633,1.007341,1.070019,1.121014,1.133064,1.11938,1.160563,1.18818,1.155478,1.177556,1.137296,1.186798
22.2059,0.9916229,0.9653497,0.9916238,1.102662,1.046989,1.109508,1.165511,1.139189,1.17094,1.177998,1.222153,1.169017,1.189403,1.290112,1.168933
22.3583,1.160474,1.027521,1.192094,1.167611,1.007877,1.210106,1.199186,1.074967,1.237986,1.232476,1.169512,1.25391,1.231612,1.184941,1.246921
22.5107,0.8928211,0.8080859,0.8928203,1.017918,0.8540916,1.02152,1.080551,0.8794828,1.103851,1.099353,0.9117993,1.126516,1.12128,0.9809236,1.145102
22.6631,1.12366,1.097449,1.127487,1.156344,1.1138,1.164734,1.186201,1.125324,1.201573,1.198515,1.134811,1.216078,1.195021,1.147601,1.207432
22.8155,0.9522727,0.9672093,0.9522627,1.04542,1.039591,1.045698,1.105571,1.141866,1.10148,1.13566,1.182168,1.128794,1.162101,1.126472,1.169366
22.9679,1.075321,0.9568574,1.086553,1.09792,1.078423,1.100088,1.142696,1.146628,1.142045,1.180997,1.171444,1.18314,1.198489,1.227311,1.191653
23.1203,1.128784,1.089099,1.134974,1.153484,1.11916,1.160023,1.171698,1.146693,1.177079,1.181055,1.174936,1.18242,1.187598,1.208249,1.182973
23.2727,1.069435,0.909396,1.084138,1.111486,1.001826,1.127513,1.152931,1.062808,1.171601,1.181517,1.107412,1.200049,1.204256,1.180731,1.21053
23.4251,1.092294,0.8665869,1.124349,1.122226,0.9118162,1.163294,1.160049,0.9931053,1.202422,1.197567,1.07822,1.234035,1.223611,1.128228,1.256528
