#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,82.6989
#BOTTOM:,332.4825
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
149.6025,2351.4,494.2549,1324.07
149.7549,2376.43,488.1131,1323.017
149.9073,2195.308,491.5585,1321.92
150.0597,2200.193,496.5693,1320.818
150.2121,2207.481,498.7679,1319.693
150.3645,2397.364,497.2927,1318.574
150.5169,2438.21,496.8467,1317.455
150.6693,2283.89,498.5439,1316.352
150.8217,2274,499.5265,1315.233
150.9741,2188.532,499.5672,1314.112
151.1265,2225.418,497.1643,1312.993
151.2789,2006.443,501.688,1311.873
151.4313,2356.183,491.666,1310.771
151.5837,2489.868,493.4239,1309.651
151.7361,2328.129,501.65,1308.516
151.8885,2260.778,507.4435,1307.397
152.0409,2132.609,516.0029,1306.293
152.1933,2123.626,515.7216,1305.209
152.3457,2312.393,516.3748,1304.138
152.4981,2286.582,522.1527,1303.052
152.6505,2366.438,524.7698,1301.969
152.8029,2302.741,525.8991,1300.901
152.9553,2320.182,524.8145,1299.837
153.1077,2322.612,524.7275,1298.792
153.2601,2300.433,525.3546,1297.729
153.4125,2367.673,524.6067,1296.664
153.5649,2369.266,524.2025,1295.608
153.7173,2286.348,526.8997,1294.543
153.8697,2230.932,528.6505,1293.491
154.0221,2346.312,526.1392,1292.439
154.1745,2337.778,526.3557,1291.382
154.3269,2313.74,527.8748,1290.314
154.4793,2426.547,526.584,1289.251
154.6317,2352.61,526.9992,1288.2
154.7841,2317.683,526.9992,1287.148
154.9365,2360.973,526.9992,1286.097
155.0889,2333.553,527.1148,1285.04
155.2413,2323.395,527.9052,1283.978
155.3937,2276.522,529.5765,1282.926
155.5461,2181.239,530.0095,1281.867
155.6985,2174.906,528.5966,1280.812
155.8509,2240.31,527.3586,1279.769
156.0033,2360.935,526.1211,1278.71
156.1557,2393.041,526.3625,1277.651
156.3081,2333.515,526.3884,1276.591
156.4605,2384.189,525.3181,1275.532
156.6129,2359.444,525.3322,1274.47
156.7653,2345.412,525.3088,1273.419
156.9177,2355.998,526.1964,1272.365
157.0701,2339.71,526.6517,1271.304
157.2225,2388.752,527.0911,1270.255
157.3749,2360.671,528.4943,1269.203
157.5273,2151.357,529.8479,1268.164
157.6797,2037.777,530.713,1267.129
157.8321,2165.124,525.3137,1266.088
157.9845,2271.103,512.8752,1265.036
158.1369,2356.211,507.3727,1263.978
158.2893,2401.386,512.3591,1262.898
158.4417,2361.361,515.9832,1261.816
158.5941,2300.151,517.4734,1260.741
158.7465,2295.017,518.5442,1259.666
158.8989,2381.292,517.2193,1258.601
159.0513,2336.474,518.873,1257.532
159.2037,2229.465,521.2788,1256.468
159.3561,2175.835,521.4202,1255.409
159.5085,2046.328,522.811,1254.35
159.6609,2136.192,522.2316,1253.291
159.8133,2270.546,520.0851,1252.232
159.9657,2294.281,515.0647,1251.175
160.1181,2406.164,511.5285,1250.118
160.2705,2391.992,512.9177,1249.053
160.4229,2401.295,512.8611,1247.986
160.5753,2386.014,504.576,1246.921
160.7277,2301.492,495.2858,1245.845
160.8801,2318.462,509.7591,1244.741
161.0325,2307.695,514.8433,1243.658
161.1849,2210.287,516.1773,1242.604
161.3373,2188.561,521.0351,1241.533
161.4897,2303.876,522.732,1240.475
161.6421,2324.338,521.9478,1239.428
161.7945,2379.47,514.8847,1238.391
161.9469,2383.873,509.9875,1237.327
162.0993,2354.427,509.8978,1236.265
162.2517,2281.072,520.3578,1235.195
162.4041,2119.82,529.8059,1234.134
162.5565,1985.761,536.2125,1233.095
162.7089,2048.723,537.9504,1232.069
162.8613,2201.633,536.8049,1231.057
163.0137,2223.863,537.5559,1230.045
163.1661,2317.732,535.8926,1229.031
163.3185,2433.257,534.1322,1228.006
163.4709,2393.155,534.0096,1226.975
163.6233,2293.23,534.5481,1225.953
163.7757,2181.251,535.9944,1224.927
163.9281,2163.873,536.2213,1223.904
164.0805,2223.608,536.7175,1222.888
164.2329,2230.111,537.8858,1221.864
164.3853,2270,536.5443,1220.851
164.5377,2340.911,535.4008,1219.835
164.6901,2345.508,535.3628,1218.823
164.8425,2369.911,534.7205,1217.816
164.9949,2388.315,534.6506,1216.792
165.1473,2310.66,535.7584,1215.76
165.2997,2291.958,536.7793,1214.736
165.4521,2332.702,537.3862,1213.712
165.6045,2278.445,538.319,1212.698
165.7569,2151.248,539.8575,1211.69
165.9093,2163.414,538.4664,1210.675
166.0617,2278.509,558.2695,1209.661
166.2141,2337.063,556.8845,1208.638
166.3665,2414.212,536.1174,1207.615
166.5189,2389.34,536.0062,1206.6
166.6713,2290.274,537.9869,1205.588
166.8237,2295.077,539.3441,1204.572
166.9761,2372.699,539.496,1203.552
167.1285,2385.581,539.6463,1202.537
167.2809,2328.791,539.8008,1201.522
167.4333,2334.409,539.8008,1200.508
167.5857,2351.154,540.2404,1199.501
167.7381,2327.93,541.1511,1198.495
167.8905,2345.766,541.7737,1197.479
168.0429,2373.545,541.7916,1196.472
168.1953,2341.154,541.771,1195.466
168.3477,2275.713,541.9344,1194.454
168.5001,2201.676,542.3513,1193.448
168.6525,2230.702,541.8848,1192.438
168.8049,2319.64,541.1244,1191.431
168.9573,2334.179,541.4946,1190.425
169.1097,2344,541.5925,1189.41
169.2621,2379.561,541.9344,1188.396
169.4145,2341.434,540.7521,1187.388
169.5669,2297.483,540.4914,1186.39
