#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,333.7017
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
71.8784,1961.966,504.1383,675.7368
72.0308,1946.004,503.8345,676.8232
72.1832,1893.988,503.8339,677.9097
72.3356,1809.025,500.1779,679.0107
72.4880,1858.005,500.1768,680.1121
72.6404,1923.977,500.7862,681.2141
72.7928,1927,501.7008,682.3185
72.9452,1936.996,502.0055,683.4061
73.0976,1881.003,502.6152,684.494
73.2500,1887.997,502.9199,685.5969
73.4024,1917.997,503.2248,686.7014
73.5548,1926.995,502.6155,687.7704
73.7072,1898.005,501.701,688.8733
73.8596,1866.019,501.7008,689.9749
74.0120,1861.001,500.7866,691.0768
74.1644,1874.005,500.7864,692.1956
74.3168,1911.989,500.7864,693.2817
74.4692,1918.999,500.7864,694.3691
74.6216,1908.004,501.0911,695.472
74.7740,1902,501.0912,696.5755
74.9264,1856.02,501.7005,697.6775
75.0788,1884.998,502.3104,698.7805
75.2312,1911.987,502.9197,699.8834
75.3836,1898.002,502.92,700.9539
75.5360,1926.984,502.92,702.0569
75.6884,1913.003,522.7284,703.1603
75.8408,1929.99,512.3751,704.2798
75.9932,1913.004,500.7892,705.4003
76.1456,1890.998,501.0911,706.4696
76.2980,1871.006,500.4818,707.5721
76.4504,1864.002,500.4816,708.6591
76.6028,1902.986,500.4816,709.7616
76.7552,1939,489.204,710.8645
76.9076,1919.009,498.0394,711.966
77.0600,1926,498.348,713.0524
77.2124,1887.019,497.7387,714.1555
77.3648,1897.999,498.6527,715.2604
77.5172,1890.005,498.3482,716.3629
77.6696,1909.996,498.348,717.4658
77.8220,1895.009,498.348,718.5508
77.9744,1916.995,498.0433,719.6562
78.1268,1886.999,498.9576,720.7606
78.2792,1877.003,498.9576,721.8632
78.4316,1896.999,499.2624,722.9661
78.5840,1883.005,499.5671,724.0676
78.7364,1936,499.2624,725.1705
78.8888,1922.006,500.7857,726.2735
79.0412,1938.999,500.7864,727.3944
79.1936,1968.985,500.7864,728.481
79.3460,1901.009,500.1769,729.5674
79.4984,1847.031,498.0444,730.6694
79.6508,1898.99,498.9574,731.7888
79.8032,1873.016,498.0438,732.8914
79.9556,1967.975,499.8715,733.9957
80.1080,1936.993,500.7863,735.0826
80.2604,1870.021,500.177,736.1851
80.4128,1838.997,500.4814,737.3055
80.5652,1781.022,496.216,738.4076
80.7176,1881.998,497.7384,739.511
80.8700,2000.947,501.0897,740.613
81.0224,2036.997,503.5294,741.7155
81.1748,2225.904,501.0924,742.817
81.3272,2300.99,477.9297,743.9198
81.4796,2198.059,455.9934,745.0229
81.6320,2271.985,516.3189,746.1277
81.7844,1632.406,501.7101,747.2313
81.9368,2632.734,524.8594,748.3177
82.0892,1936.989,511.1494,749.4206
82.2416,1833.034,509.6261,750.5226
82.3940,2261.979,519.3784,751.6431
82.5464,1748.201,498.9656,752.7451
82.6988,2078.993,502.3103,753.8485
82.8512,1992.04,504.443,754.9515
83.0036,1774.019,498.3485,756.0554
83.1560,2001.882,502.0037,757.158
83.3084,1944.009,501.7008,758.2778
83.4608,2165.871,505.0516,759.3629
83.6132,2074.019,504.7489,760.4658
83.7656,1915.102,501.7028,761.5682
83.9180,1824.025,502.3102,762.6722
84.0704,1999.997,502.6151,763.7761
84.2228,1964.012,501.3964,764.8626
84.3752,1890.009,501.0912,765.9661
84.5276,2169.888,502.3099,767.0851
84.6800,2124.001,504.1391,768.205
84.8324,2107.008,503.8346,769.3235
84.9848,2003.01,501.701,770.4269
85.1372,1911.048,499.2637,771.514
85.2896,1910,500.4814,772.6013
85.4420,1825.05,498.9585,773.7048
85.5944,1951.972,501.0907,774.8248
85.7468,1996.971,502.005,775.9278
85.8992,1881.032,501.0914,777.0142
86.0516,2027.994,501.3959,778.1176
86.2040,1964.022,500.7866,779.2031
86.3564,2040.998,500.7863,780.3055
86.5088,1959.033,498.6537,781.3911
86.6612,1970,498.9576,782.4445
86.8136,1920.023,498.0436,783.497
86.9660,1953.997,498.348,784.5509
87.1184,1961.996,498.9573,785.5875
87.2708,1970.999,498.9576,786.6243
87.4232,1979.995,498.9576,787.6429
87.5756,1912.015,498.9576,788.6953
87.7280,1905.006,498.348,789.7311
87.8804,1949.987,498.348,790.7837
88.0328,2145.005,502.92,791.8376
88.1852,2209.977,502.92,792.8906
88.3376,1961.999,499.2623,793.9275
88.4900,1887.031,493.7783,794.9626
88.6424,2027.994,496.5191,795.9984
88.7948,1952.036,499.8704,797.034
88.9472,1937.002,497.4339,798.0714
89.0996,2246.833,505.3541,799.1245
89.2520,1950.05,500.1777,800.1618
89.4044,1907.026,495.6075,801.1974
89.5568,2016.974,499.5663,802.2488
89.7092,1893.013,498.6528,803.2831
89.8616,1986.972,498.3481,804.3347
90.0140,2156.992,500.1768,805.3881
90.1664,2054.037,500.1768,806.4251
90.3188,1950,498.0432,807.48
90.4712,1915.015,498.6526,808.5166
90.6236,1983.996,498.0432,809.5695
90.7760,1953.015,497.7386,810.604
90.9284,1957,498.0432,811.6399
91.0808,1992.98,498.9571,812.6589
91.2332,1939.01,498.6529,813.7118
91.3856,1966.983,497.4343,814.7639
91.5380,1932.008,497.7383,815.8173
91.6904,1930.008,494.6906,816.8706
91.8428,1993.981,495.9092,817.9067
91.9952,2109.001,497.7385,818.9266
92.1476,2131.992,498.9572,819.9622
92.3000,2001,498.9576,821.0155
92.4524,1931.03,496.5202,822.0685
92.6048,1890.002,496.5192,823.1147
92.7572,1939.975,498.0425,824.1415
92.9096,1914.003,498.348,825.1769
93.0620,2013.945,497.4341,826.2294
93.2144,1979.006,492.8624,827.2658
93.3668,2130.906,498.9539,828.3019
93.5192,2190.985,498.6529,829.3475
93.6716,1960.989,497.4334,830.3922
93.8240,1873.027,496.2148,831.4442
93.9764,1847.012,496.5192,832.4806
94.1288,2048.925,496.8239,833.5321
94.2812,1878,496.2144,834.585
94.4336,2010.942,496.5191,835.6046
94.5860,2189.988,502.6148,836.642
94.7384,2061.064,499.5687,837.694
94.8908,1964.012,498.3481,838.7469
95.0432,1932.018,496.5202,839.7989
95.1956,1943.998,496.8239,840.8523
95.3480,1980.977,495.6056,841.8883
95.5004,2030.987,495.3001,842.9088
95.6528,2126.979,497.4335,843.9446
95.8052,1948.057,496.8242,844.9962
95.9576,1921.002,494.0809,846.0325
96.1100,1960.985,496.2136,847.0856
96.2624,1989,496.5192,848.14
96.4148,1936.023,495.9099,849.1771
96.5672,2003.995,496.8239,850.2139
96.7196,2134.934,499.5658,851.2654
96.8720,2139,498.6529,852.3179
97.0244,2080.033,498.9574,853.3534
97.1768,1977.02,494.6913,854.3898
97.3292,1944.021,491.6443,855.4433
97.4816,2051.972,493.7755,856.4808
97.6340,1855.005,495.3,857.5331
97.7864,1896.986,495.9094,858.5841
97.9388,2144,498.6529,859.6285
98.0912,2137.003,501.3949,860.6566
98.2436,1985.003,496.8241,861.711
