#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,203.7412
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
53.1700,1.557308,1.476487,1.690135,1.601001,1.478502
53.3224,1.595155,1.362195,1.605631,1.332741,1.534506
53.4748,1.811753,1.452911,1.395809,1.592875,1.524302
53.6272,1.427307,1.449533,1.657734,1.394457,1.569475
53.7796,1.60129,1.404069,1.335214,1.274758,1.590237
53.9320,1.515891,1.357535,1.54664,1.209583,1.404125
54.0844,1.379703,1.435781,1.09103,1.479897,1.206338
54.2368,1.175864,1.374362,1.357271,1.316812,1.258078
54.3892,1.655586,1.588368,1.549869,1.274571,1.641015
54.5416,1.533512,1.461498,1.35774,1.415778,1.472907
54.6940,1.479577,1.611919,1.467436,1.346066,1.393617
54.8464,1.505157,1.440348,1.444567,1.464307,1.609397
54.9988,1.509614,1.886475,1.543592,1.552529,1.510916
55.1512,1.726551,1.760514,1.830703,1.578277,1.578999
55.3036,1.786348,1.941067,1.81446,1.681194,1.710403
55.4560,1.950418,1.901587,1.844818,1.804454,1.765169
55.6084,1.862884,1.84913,2.071484,1.854747,1.872765
55.7608,1.958026,1.741741,2.042369,1.890659,1.862287
55.9132,2.211999,1.907402,2.137549,2.026469,1.84608
56.0656,2.0036,1.777177,2.013112,2.132913,1.899313
56.2180,2.109429,1.760678,2.048911,1.892587,1.855834
56.3704,2.218103,1.947639,1.976262,2.125187,1.949853
56.5228,2.094689,1.822997,1.893371,2.204882,1.930437
56.6752,2.478747,1.823643,1.922982,1.976696,1.7643
56.8276,2.355058,1.814767,1.931437,1.803647,1.865914
56.9800,2.018553,1.791264,1.861502,1.818821,2.183639
57.1324,1.981685,1.791221,1.862595,1.773772,1.882881
57.2848,2.107515,1.936217,2.056936,1.900898,1.89686
57.4372,2.052772,1.795758,1.909981,1.99499,1.792437
57.5896,2.082708,1.622859,1.800017,1.657894,1.659464
57.7420,1.981047,1.642034,1.889561,1.63209,1.887653
57.8944,1.811634,1.687302,2.147939,1.716498,1.958755
58.0468,1.605707,1.770528,1.948756,1.795084,1.645226
58.1992,1.820809,1.750774,1.74577,1.663629,1.523835
58.3516,1.848121,1.684169,1.717048,1.755706,2.004034
58.5040,1.704339,1.828623,1.725614,1.643752,1.723016
58.6564,1.828684,1.748601,1.740405,1.51846,1.622872
58.8088,1.970569,1.69688,1.697472,1.545959,1.860437
58.9612,1.816818,1.649295,1.690677,1.627897,1.743723
59.1136,1.776751,1.676431,2.098056,1.832729,1.684631
59.2660,1.770234,1.654504,1.673725,1.595806,1.695582
59.4184,1.920647,1.785435,1.764447,1.592122,1.700847
59.5708,1.760006,1.522271,1.702965,1.728295,1.808585
59.7232,1.652572,1.553379,1.926346,1.719117,1.657338
59.8756,1.982753,1.453443,1.815044,1.695036,1.647297
60.0280,1.54167,1.461154,1.81636,1.490877,1.831206
60.1804,1.828371,1.434951,1.441734,1.447237,1.390411
60.3328,1.459241,1.487413,1.383527,1.527665,1.564153
60.4852,1.435908,1.365929,1.375224,1.422433,1.376731
60.6376,1.584954,1.347055,1.407597,1.287237,1.408299
60.7900,1.503719,1.488274,1.38192,1.445892,1.438712
60.9424,1.38265,1.547859,1.367008,1.337651,1.474744
61.0948,1.580451,1.400094,1.506479,1.336966,1.416258
61.2472,1.460956,1.320172,1.546255,1.316425,1.511366
61.3996,1.53072,1.376844,1.342787,1.313596,1.421365
61.5520,1.496809,1.46638,1.625663,1.337528,1.398401
61.7044,1.475906,1.344864,1.436063,1.269509,1.340216
61.8568,1.426133,1.319893,1.474421,1.493492,1.417469
62.0092,1.354785,1.422694,1.537842,1.187547,1.37915
62.1616,1.599268,1.271845,1.583797,1.258894,1.32837
62.3140,1.372208,1.439349,1.51607,1.357922,1.415432
62.4664,1.386166,1.260262,1.47406,1.250399,1.293137
62.6188,1.453723,1.281981,1.387391,1.395128,1.401833
62.7712,1.310825,1.42749,1.450866,1.263796,1.441782
62.9236,1.460205,1.360115,1.151421,1.331745,1.2122
63.0760,1.288061,1.316377,1.15563,1.243349,1.411013
63.2284,1.384998,1.321232,1.2665,1.243379,1.308857
63.3808,1.242843,1.299775,1.361695,1.30962,1.385404
63.5332,1.281391,1.242335,1.312546,1.352632,1.195917
63.6856,1.320602,1.219211,1.414513,1.23952,1.244159
63.8380,1.353907,1.286988,1.276766,1.240725,1.286979
63.9904,1.33194,1.36596,1.302118,1.265677,1.320881
64.1428,1.370489,1.337484,1.208737,1.567559,1.378777
64.2952,0.8954282,1.436507,1.40751,1.112032,0.8949243
64.4476,1.224683,1.280145,1.443041,1.245654,1.311558
64.6000,1.222292,1.41861,1.091832,0.8987423,1.697072
64.7524,1.667761,1.261081,1.253583,1.07516,1.423054
64.9048,1.354092,1.254588,1.392875,1.109075,1.24232
65.0572,1.535891,1.338691,1.236432,1.126109,1.313121
65.2096,1.247808,1.346617,1.348226,1.119131,1.536597
65.3620,1.224809,1.327608,1.522906,1.224207,1.244596
65.5144,1.231215,1.277802,1.223534,1.406556,1.174036
65.6668,1.366049,1.388928,1.384935,1.294678,1.273995
65.8192,1.528747,1.352131,1.411636,1.201169,1.316838
65.9716,1.412395,1.232093,1.372667,1.21318,1.467809
66.1240,1.307628,1.382481,1.42237,1.202362,1.351145
66.2764,1.299734,1.231126,1.237052,1.262151,1.224693
66.4288,1.333282,1.311359,1.405468,1.259696,1.264021
66.5812,1.346404,1.286245,1.340495,1.346424,1.284328
