#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,322.4241
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
77.5172,38.33206,39.83757
77.6696,35.71215,37.11476
77.8220,35.26302,36.64799
77.9744,31.68713,32.93166
78.1268,35.20944,36.59231
78.2792,35.94985,37.3618
78.4316,34.85804,36.22711
78.5840,30.59163,31.79313
78.7364,30.35159,31.54366
78.8888,32.14646,33.40903
79.0412,34.79966,36.16644
79.1936,31.46769,32.7036
79.3460,34.15915,35.50077
79.4984,33.92121,35.25348
79.6508,36.97112,38.42318
79.8032,30.91517,32.12939
79.9556,29.95788,31.13449
80.1080,27.71867,28.80733
80.2604,30.14723,31.33128
80.4128,29.80942,30.9802
80.5652,30.90076,32.11441
80.7176,29.81834,30.98947
80.8700,29.91848,31.09355
81.0224,29.949,31.12526
81.1748,30.54966,31.74952
81.3272,31.34709,32.57826
81.4796,32.03163,33.28969
81.6320,31.20676,32.43243
81.7844,32.32137,33.59081
81.9368,32.30549,33.5743
82.0892,37.9166,39.4058
82.2416,34.81306,36.18036
82.3940,32.68263,33.96626
82.5464,30.21467,31.40136
82.6988,33.31327,34.62166
82.8512,34.54939,35.90634
83.0036,32.30102,33.56966
83.1560,33.49819,34.81384
83.3084,39.55084,41.10423
83.4608,38.5351,40.04858
83.6132,36.00247,37.41648
83.7656,28.24051,29.34967
83.9180,31.27659,32.50499
84.0704,31.42001,32.65405
84.2228,33.13276,34.43406
84.3752,31.33306,32.56368
84.5276,32.29151,33.55978
84.6800,32.7408,34.02671
84.8324,31.49544,32.73244
84.9848,30.77929,31.98817
85.1372,30.33055,31.5218
85.2896,33.37066,34.68131
85.4420,34.32475,35.67287
85.5944,34.09625,35.4354
85.7468,33.68401,35.00697
85.8992,31.00225,32.21988
86.0516,31.42461,32.65882
86.2040,31.61797,32.85978
86.3564,34.53344,35.88976
86.5088,33.88628,35.21718
86.6612,32.01322,33.27055
86.8136,32.68873,33.9726
86.9660,34.29007,35.63683
87.1184,32.56893,33.84809
87.2708,33.42119,34.73383
87.4232,33.18304,34.48632
87.5756,35.86829,37.27703
87.7280,36.87907,38.32751
87.8804,34.0191,35.35522
88.0328,33.29742,34.60519
88.1852,29.49016,30.6484
88.3376,30.44714,31.64296
88.4900,30.38098,31.57421
88.6424,31.41158,32.64529
88.7948,32.36033,33.6313
88.9472,31.86222,33.11362
89.0996,34.96683,36.34017
89.2520,35.68367,37.08517
89.4044,36.4309,37.86175
89.5568,29.03493,30.17529
89.7092,28.78178,29.9122
89.8616,29.55243,30.71312
90.0140,33.60601,34.9259
90.1664,33.35173,34.66164
90.3188,33.35163,34.66153
90.4712,32.87988,34.17126
90.6236,33.63698,34.9581
90.7760,31.49215,32.72902
90.9284,28.1185,29.22287
91.0808,26.19872,27.22769
91.2332,28.11006,29.21409
91.3856,29.13141,30.27557
91.5380,33.6545,34.97629
91.6904,32.86413,34.15489
91.8428,36.64513,38.08438
91.9952,30.45364,31.64972
92.1476,29.7012,30.86773
92.3000,26.83414,27.88807
92.4524,28.26413,29.37422
92.6048,28.51911,29.63922
92.7572,32.57051,33.84974
92.9096,33.21079,34.51516
93.0620,37.35484,38.82197
93.2144,37.83391,39.31985
93.3668,39.61365,41.1695
93.5192,36.28252,37.70754
93.6716,37.19862,38.65961
93.8240,37.15828,38.61769
93.9764,37.14804,38.60704
94.1288,34.0894,35.42828
94.2812,31.47108,32.70712
94.4336,31.17681,32.40129
94.5860,31.88907,33.14153
94.7384,30.69754,31.90321
94.8908,30.18823,31.37389
95.0432,30.66477,31.86915
95.1956,35.19441,36.57669
95.3480,37.99185,39.484
95.5004,36.80172,38.24713
95.6528,34.41685,35.76859
95.8052,32.38793,33.65998
95.9576,31.19995,32.42534
96.1100,31.62095,32.86288
96.2624,31.18393,32.40869
96.4148,28.5556,29.67714
96.5672,27.18398,28.25165
96.7196,28.61376,29.73759
96.8720,31.2388,32.46572
97.0244,30.58562,31.78688
97.1768,28.43977,29.55676
97.3292,28.36245,29.4764
97.4816,29.48854,30.64672
97.6340,31.63449,32.87695
97.7864,29.34594,30.49852
97.9388,31.96797,33.22353
98.0912,31.97344,33.22921
98.2436,36.30415,37.73001
98.3960,31.29936,32.52866
98.5484,29.14145,30.286
98.7008,25.57119,26.57551
98.8532,26.52296,27.56466
99.0056,27.16556,28.2325
99.1580,29.96513,31.14202
99.3104,32.11024,33.37138
99.4628,32.36592,33.63711
99.6152,29.50472,30.66353
99.7676,28.78973,29.92046
99.9200,26.46635,27.50583
100.0724,31.872,33.12379
100.2248,34.49683,35.85172
100.3772,37.8388,39.32494
100.5296,35.30234,36.68886
100.6820,34.34888,35.69795
100.8344,34.58142,35.93962
100.9868,37.35822,38.82549
