#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.3271
#BOTTOM:,748.5446
DEPTH_LSF,BPHI,TNPH
m,%,%
109.5312,64.8850,69.5800
109.6836,57.4222,54.4271
109.8360,59.6373,56.9413
109.9884,60.2086,58.3351
110.1408,57.0920,52.6518
110.2932,58.1347,53.7778
110.4456,62.2002,60.5788
110.5980,66.4824,69.6895
110.7504,64.7177,65.8496
110.9028,63.7255,63.3057
111.0552,62.3986,61.2040
111.2076,65.7974,68.0606
111.3600,62.0030,60.6131
111.5124,65.3552,67.6381
111.6648,64.3904,66.0674
111.8172,65.6541,68.6192
111.9696,65.2543,69.0254
112.1220,65.3011,69.2722
112.2744,64.7264,68.0643
112.4268,61.6914,62.9345
112.5792,57.3100,54.9349
112.7316,60.5053,60.9900
112.8840,69.4918,80.6975
113.0364,62.5025,63.9468
113.1888,63.1058,64.9689
113.3412,66.6596,72.9462
113.4936,62.1540,63.0863
113.6460,57.5848,54.5411
113.7984,61.5297,62.0705
113.9508,63.0596,65.0040
114.1032,57.4395,55.2128
114.2556,65.4025,70.7730
114.4080,63.0123,66.5892
114.5604,63.2368,66.2880
114.7128,60.5407,61.3579
114.8652,62.3690,64.4231
115.0176,65.3619,70.3372
115.1700,63.8497,66.7897
115.3224,62.8558,66.2973
115.4748,63.8840,68.6192
115.6272,57.9479,57.7074
115.7796,61.6544,63.9813
115.9320,53.9137,50.9012
116.0844,61.7690,64.7776
116.2368,56.1748,54.4343
116.3892,63.9817,67.3704
116.5416,63.7874,66.8510
116.6940,60.3376,59.8718
116.8464,60.0978,59.6908
116.9988,62.0274,64.2753
117.1512,61.8977,63.3813
117.3036,58.5731,57.1389
117.4560,61.8314,63.2291
117.6084,61.1339,62.2179
117.7608,60.7241,61.4465
117.9132,65.0298,70.9744
118.0656,60.6515,62.4934
118.2180,56.7910,55.1209
118.3704,61.4894,63.9424
118.5228,69.2101,81.5182
118.6752,65.6336,72.4352
118.8276,61.5856,64.0550
118.9800,60.8324,63.2969
119.1324,61.5247,63.5234
119.2848,60.2832,61.4973
119.4372,63.3483,67.1079
119.5896,56.7960,55.6465
119.7420,56.6617,55.4743
119.8944,55.9918,53.8839
120.0468,57.0604,55.0302
120.1992,58.8981,57.8853
120.3516,67.3455,73.6676
120.5040,65.5575,68.2333
120.6564,65.7540,67.9476
120.8088,70.8186,79.5373
120.9612,63.4796,64.2757
121.1136,63.3085,64.5461
121.2660,58.4316,56.7432
121.4184,63.0366,65.4226
121.5708,61.0178,61.6912
121.7232,60.6923,61.4406
121.8756,61.1183,63.3936
122.0280,57.9388,57.7780
122.1804,59.6454,60.5476
122.3328,60.1315,61.8460
122.4852,60.4794,62.6867
122.6376,61.7868,65.7092
122.7900,59.5739,61.1969
122.9424,54.2882,51.7419
123.0948,62.8299,67.5242
123.2472,61.8492,65.5076
123.3996,60.3102,61.6194
123.5520,61.0336,62.7649
123.7044,64.8508,70.3543
123.8568,61.4861,63.1078
124.0092,59.6619,60.3286
124.1616,58.8861,59.6037
124.3140,54.6238,51.8207
124.4664,60.6948,62.2975
124.6188,64.0685,69.8380
124.7712,61.4722,64.1559
124.9236,61.4950,64.0756
125.0760,56.4290,55.4860
125.2284,53.4481,50.5160
125.3808,54.8193,53.3604
125.5332,61.3962,64.2205
125.6856,56.6391,55.5342
125.8380,61.5732,63.6624
125.9904,56.7023,55.1192
126.1428,64.9098,70.9593
126.2952,58.7913,58.6695
126.4476,62.3002,65.3122
