#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,82.6989
#BOTTOM:,323.0337
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
155.3937,48.64088,54.20307
155.5461,42.79818,48.01201
155.6985,41.28929,46.86044
155.8509,42.50279,48.23331
156.0033,43.80206,49.37408
156.1557,42.12929,47.43366
156.3081,37.76728,42.56791
156.4605,32.92581,37.10195
156.6129,29.3352,33.06586
156.7653,28.6577,32.27516
156.9177,29.25535,32.79528
157.0701,31.46847,35.09483
157.2225,33.60971,37.31635
157.3749,33.36943,37.61065
157.5273,30.66043,35.15882
157.6797,28.08472,32.30797
157.8321,26.86203,30.42136
157.9845,27.21402,30.11541
158.1369,29.11252,31.94193
158.2893,31.46974,34.51009
158.4417,32.64946,35.80169
158.5941,30.8298,33.80957
158.7465,29.74751,32.65353
158.8989,31.97328,35.70031
159.0513,34.58657,39.10932
159.2037,35.51933,39.86915
159.3561,32.72081,36.94009
159.5085,31.01866,35.00407
159.6609,31.77884,35.67377
159.8133,33.64014,37.83133
159.9657,36.74551,41.89103
160.1181,37.72767,43.65123
160.2705,36.60624,42.1027
160.4229,33.39295,37.82815
160.5753,33.29469,37.51972
160.7277,35.38258,39.88456
160.8801,34.22622,37.95452
161.0325,31.42347,34.31214
161.1849,31.49916,34.24936
161.3373,33.59611,36.51684
161.4897,36.72285,39.89386
161.6421,37.12597,40.27549
161.7945,38.02955,41.08474
161.9469,36.87635,39.68416
162.0993,34.18794,36.61457
162.2517,32.20978,34.41186
162.4041,33.07123,35.36146
162.5565,33.90253,36.26613
162.7089,35.32261,37.77492
162.8613,35.85828,38.34308
163.0137,35.32629,37.78933
163.1661,33.68191,36.05376
163.3185,33.02477,35.37417
163.4709,34.49137,37.00313
163.6233,35.50481,38.13354
163.7757,33.52482,36.03413
163.9281,32.78682,35.23566
164.0805,34.55006,37.1156
164.2329,35.50898,38.14573
164.3853,35.44262,38.08866
164.5377,33.86621,36.39514
164.6901,33.37075,35.85127
164.8425,34.70324,37.28294
164.9949,35.76761,38.51724
165.1473,37.48804,40.51095
165.2997,37.11511,40.17979
165.4521,37.22267,40.30398
165.6045,37.33243,40.42435
165.7569,37.88196,41.02896
165.9093,39.85808,43.15799
166.0617,40.18234,43.59818
166.2141,38.87763,42.35709
166.3665,36.71718,39.9159
166.5189,35.73685,38.51245
166.6713,38.43683,41.20667
166.8237,40.31379,43.22124
166.9761,41.95464,45.12615
167.1285,41.24057,44.4086
167.2809,37.90199,40.76659
167.4333,34.83967,37.47599
167.5857,32.11374,34.5493
167.7381,33.35108,35.88655
167.8905,36.06785,38.82252
168.0429,37.66919,40.94017
168.1953,35.38738,38.72446
168.3477,31.13531,34.19037
168.5001,28.17101,30.86642
168.6525,29.47024,31.73158
168.8049,32.44886,34.93294
168.9573,35.21684,37.92473
169.1097,37.66533,40.5811
169.2621,36.69403,39.61119
169.4145,35.20029,38.04868
169.5669,33.77011,36.43808
169.7193,33.59882,36.24119
169.8717,31.2506,33.71054
170.0241,25.69532,27.70729
170.1765,24.53774,26.4033
170.3289,28.87823,30.96153
170.4813,33.36656,35.70054
170.6337,35.58689,38.06063
170.7861,33.76019,36.09959
170.9385,31.65339,33.85937
171.0909,28.87066,30.89112
171.2433,27.19447,29.07891
171.3957,28.56107,30.54409
171.5481,29.80588,31.8942
171.7005,31.36043,33.58012
171.8529,31.89042,34.14285
172.0053,32.90749,35.20609
172.1577,34.34506,36.72675
172.3101,35.16747,37.6211
172.4625,35.18993,37.66793
172.6149,33.25374,35.60936
172.7673,32.40722,34.7426
172.9197,31.98733,34.34015
173.0721,33.34595,35.8095
173.2245,32.77086,35.18755
173.3769,29.67645,31.90615
173.5293,27.81867,30.00921
173.6817,29.31595,32.02717
173.8341,34.59146,39.0502
173.9865,38.90775,44.80381
174.1389,40.19187,45.76458
174.2913,38.54944,42.27799
174.4437,36.67537,39.68359
174.5961,37.57346,40.37374
174.7485,39.32582,42.23423
174.9009,42.58162,45.74089
175.0533,41.64348,44.74292
175.2057,39.77353,42.73239
175.3581,37.92499,40.80132
175.5105,39.18002,42.25469
175.6629,41.59231,45.0405
175.8153,41.5225,45.61172
175.9677,37.82823,41.91191
176.1201,35.14448,39.00533
176.2725,34.02139,36.77919
176.4249,38.57543,41.62006
176.5773,42.53862,45.88303
176.7297,45.74948,49.34058
176.8821,45.08729,48.64006
177.0345,44.86048,48.4403
177.1869,43.05964,46.53217
177.3393,42.03846,45.45155
177.4917,39.32706,42.52705
177.6441,37.68788,40.76934
177.7965,36.67215,39.69064
177.9489,39.17838,42.35873
178.1013,43.1139,46.52212
178.2537,46.77531,50.43478
178.4061,47.10217,50.71485
178.5585,43.56553,46.81318
178.7109,41.39071,44.47153
178.8633,40.84133,43.87842
179.0157,42.07014,45.23611
179.1681,41.85714,45.08028
179.3205,41.33818,44.55799
179.4729,42.45153,45.78376
179.6253,40.84128,44.0531
179.7777,38.83316,41.89507
179.9301,36.96447,39.87566
180.0825,38.15063,41.14805
180.2349,41.81666,45.10604
180.3873,44.27354,47.85472
180.5397,43.87345,47.55321
180.6921,39.22121,42.54839
180.8445,34.08254,36.9738
180.9969,31.30276,33.9799
181.1493,31.79445,34.59731
181.3017,32.30525,35.29648
181.4541,33.00111,36.19399
181.6065,33.45428,36.73661
181.7589,33.32592,36.60577
181.9113,32.04857,35.21024
182.0637,29.17143,32.06766
182.2161,29.26604,32.19724
182.3685,30.02123,33.09669
182.5209,31.15248,34.38374
182.6733,30.60779,33.76696
182.8257,31.32962,34.5659
182.9781,32.5338,35.91453
183.1305,35.58965,39.29367
183.2829,35.90311,39.63005
183.4353,35.10838,38.79399
183.5877,31.10783,34.41949
183.7401,31.14436,34.48985
183.8925,32.83536,36.36621
184.0449,34.00534,37.66393
184.1973,31.4476,34.83072
184.3497,26.79252,29.73466
184.5021,25.39748,28.48154
184.6545,26.69869,30.15022
184.8069,32.10201,35.92992
184.9593,35.52051,39.61929
185.1117,36.70945,40.89077
185.2641,37.30579,41.53369
185.4165,36.87309,41.05194
185.5689,35.25669,39.25679
185.7213,32.63755,36.34611
185.8737,30.88417,34.40685
186.0261,31.4139,35.00521
186.1785,28.52296,31.70037
186.3309,27.78468,30.73954
