#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,323.4909
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
29.3588,4.888175,3.367779,0.08420455,0.5863916,0.1938541,-999.25
29.5112,5.091029,3.041427,0.08083297,0.5015345,0.2861909,-999.25
29.6636,4.444547,2.981912,0.08465867,0.460062,0.1779706,-999.25
29.8160,4.016071,2.708371,0.07629625,0.4213506,0.1672644,-999.25
29.9684,3.410816,1.888713,0.05298809,0.2951095,0.1799725,-999.25
30.1208,3.447291,2.119758,0.05373599,0.3647813,0.1716802,-999.25
30.2732,3.141006,1.612553,0.04450205,0.2562825,0.2056585,-999.25
30.4256,3.094594,1.660242,0.03823752,0.3082436,0.1655371,-999.25
30.5780,3.509408,1.717491,0.04081499,0.3115017,0.2288514,-999.25
30.7304,3.066832,1.630476,0.04424753,0.2635171,0.184664,-999.25
30.8828,3.255598,1.894319,0.04356788,0.3520582,0.1571095,-999.25
31.0352,3.107883,1.655396,0.04171754,0.2863161,0.1720982,-999.25
31.1876,3.411856,2.246071,0.0588382,0.3753933,0.1065314,-999.25
31.3400,3.47083,2.03951,0.04845102,0.3700032,0.1393546,-999.25
31.4924,3.021662,2.430005,0.043249,0.5256135,0.03870336,-999.25
31.6448,2.597593,2.239349,0.04095673,0.4779285,0.006802066,-999.25
31.7972,2.508874,2.049259,0.04336438,0.4029082,0.009276949,-999.25
31.9496,2.360381,1.904027,0.03318037,0.4159848,0.0002470632,-999.25
32.1020,2.869312,2.179726,0.03941132,0.4678668,0.03583368,-999.25
32.2544,2.843696,2.548966,0.05633665,0.4871173,-0.04001809,-999.25
32.4068,3.032828,2.335563,0.04017248,0.5133568,0.02111313,-999.25
32.5592,2.779689,1.477836,0.0215815,0.3472973,0.127817,-999.25
32.7116,2.333884,1.244404,0.02191759,0.270514,0.0995212,-999.25
32.8640,2.388806,0.8103348,0.02306318,0.124687,0.1655109,-999.25
33.0164,2.54329,1.021384,0.02886602,0.1583552,0.1612669,-999.25
33.1688,3.304699,0.8058286,0.03503701,0.05314025,0.2699253,-999.25
33.3212,3.306103,0.8544209,0.02642483,0.1191355,0.2924652,-999.25
33.4736,3.069749,0.7895761,0.01155231,0.185426,0.2820428,-999.25
33.6260,3.118286,0.7357056,0.02373764,0.09681953,0.294145,-999.25
33.7784,3.273782,1.020982,0.04228582,0.07965823,0.2741516,-999.25
33.9308,3.26088,0.7892609,0.03406355,0.05352956,0.2987704,-999.25
34.0832,2.556952,0.8614049,0.03199452,0.0887653,0.1995482,-999.25
34.2356,2.366873,1.179354,0.03990403,0.1443611,0.1250558,-999.25
34.3880,2.671842,1.260606,0.02624427,0.2503757,0.1872463,-999.25
34.5404,3.197795,1.513329,0.02224414,0.3547932,0.2399202,-999.25
34.6928,3.437987,1.892801,0.0162593,0.5114538,0.2196432,-999.25
34.8452,2.792004,1.614245,0.01555382,0.4263065,0.164773,-999.25
34.9976,2.756226,1.593454,0.01559266,0.4194154,0.1563781,-999.25
35.1500,2.641528,1.709906,0.02742148,0.3874851,0.1272965,-999.25
35.3024,3.046963,2.599331,0.02905961,0.6629568,0.06709358,-999.25
35.4548,2.859163,2.093229,0.00457239,0.644114,0.123439,-999.25
35.6072,2.657245,2.300582,0.01706858,0.6374103,0.07176689,-999.25
35.7596,2.607953,2.561759,0.02129273,0.6963873,0.01523822,-999.25
35.9120,2.518104,2.261012,0.01963549,0.6096996,0.04863474,-999.25
36.0644,2.514545,2.380383,0.03791822,0.5409194,0.002204024,-999.25
36.2168,2.261952,2.354441,0.03342268,0.5589249,-0.04349303,-999.25
36.3692,2.392655,2.355798,0.03632524,0.5423661,-0.02355704,-999.25
36.5216,2.630867,2.429755,0.03322847,0.5842001,0.01867619,-999.25
36.6740,2.829126,2.995284,0.04896289,0.6733339,-0.05017047,-999.25
36.8264,2.325594,2.260688,0.03206395,0.5368316,-0.00887887,-999.25
36.9788,2.034393,1.705994,0.02841717,0.380402,0.02289969,-999.25
37.1312,2.134606,2.034234,0.0278568,0.4888842,-0.01363395,-999.25
37.2836,2.283106,2.320153,0.02626369,0.589849,-0.02027002,-999.25
37.4360,2.551595,2.329413,0.03499038,0.541725,0.001066194,-999.25
37.5884,2.340295,2.64913,0.04661357,0.5761454,-0.04873279,-999.25
37.7408,2.299086,2.422533,0.02851701,0.6094694,-0.03038415,-999.25
37.8932,2.302779,2.432026,0.03751042,0.5598586,-0.02748973,-999.25
38.0456,2.674353,2.673594,0.0402017,0.6215251,-0.01282061,-999.25
38.1980,3.375964,2.957825,0.04607697,0.6782243,0.02265082,-999.25
38.3504,3.16631,2.352344,0.04021185,0.5185046,0.08322518,-999.25
38.5028,3.135639,2.594961,0.04899261,0.5448555,0.0295164,-999.25
38.6552,2.790658,2.415454,0.04983151,0.4824118,0.01107497,-999.25
