#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,186.6724
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
16.5940,1.52003,1.499671,1.544353,1.540343,1.521098,1.565379,1.554129,1.538204,1.57574,1.559314,1.547305,1.575603,1.559351,1.550526,1.571102
16.7464,1.55822,1.543815,1.577945,1.569097,1.554837,1.589582,1.580146,1.568014,1.598209,1.587409,1.580064,1.598353,1.589327,1.587626,1.591793
16.8988,1.555469,1.540717,1.575464,1.566047,1.551861,1.586137,1.573498,1.561802,1.590355,1.577058,1.56909,1.588451,1.578117,1.573588,1.584489
17.0512,1.551465,1.537205,1.570398,1.565383,1.551729,1.584599,1.574608,1.563758,1.590239,1.577445,1.571518,1.585828,1.576455,1.575801,1.577348
17.2036,1.539211,1.521193,1.562365,1.554634,1.53852,1.576578,1.563484,1.548975,1.583839,1.566091,1.554464,1.5823,1.566638,1.559518,1.576323
17.3560,1.533006,1.51176,1.560053,1.54681,1.527982,1.571969,1.553939,1.536365,1.578009,1.554589,1.540459,1.573598,1.553408,1.545739,1.5633
17.5084,1.531561,1.508349,1.561253,1.541421,1.520705,1.568742,1.549205,1.530575,1.574343,1.556403,1.540385,1.578376,1.563399,1.550807,1.580848
17.6608,1.530196,1.506243,1.560779,1.544881,1.525007,1.571373,1.553901,1.539292,1.573549,1.557524,1.548478,1.569491,1.559165,1.554778,1.564861
17.8132,1.498999,1.480966,1.518411,1.517552,1.494209,1.545577,1.526289,1.50529,1.552181,1.537015,1.524792,1.55208,1.554644,1.553014,1.556692
17.9656,1.478845,1.452936,1.505308,1.511865,1.488781,1.538836,1.530182,1.512907,1.551417,1.545353,1.53582,1.557356,1.567306,1.56757,1.56696
18.1180,1.424765,1.369123,1.475134,1.485568,1.450808,1.523802,1.517163,1.492612,1.54678,1.530543,1.511705,1.553936,1.552469,1.543617,1.563914
18.2704,1.411389,1.331815,1.486899,1.460609,1.402589,1.524644,1.488178,1.445042,1.538513,1.502657,1.47109,1.539663,1.523008,1.50523,1.544238
18.4228,1.384145,1.297228,1.457419,1.449743,1.389955,1.51263,1.48707,1.440429,1.542341,1.503651,1.464371,1.552062,1.527573,1.499443,1.563955
18.5752,1.434671,1.390089,1.475009,1.498977,1.469867,1.532078,1.53029,1.513181,1.551313,1.541009,1.532117,1.551965,1.560804,1.560546,1.561133
18.7276,1.389598,1.312757,1.453314,1.462508,1.415803,1.511391,1.498555,1.465709,1.536588,1.508386,1.481902,1.539401,1.529784,1.514237,1.548684
18.8800,1.355989,1.244922,1.445066,1.422099,1.344607,1.499408,1.460338,1.397922,1.531006,1.475413,1.422303,1.537015,1.49708,1.459563,1.541365
19.0324,1.341046,1.211242,1.445211,1.400498,1.30128,1.49953,1.444,1.363126,1.538287,1.471941,1.40309,1.559335,1.501469,1.445101,1.578987
19.1848,1.416738,1.345677,1.48317,1.474463,1.418894,1.539588,1.518012,1.476768,1.573463,1.546755,1.516558,1.590255,1.570173,1.548558,1.603006
19.3372,1.432993,1.37173,1.492428,1.472023,1.417518,1.534642,1.510393,1.466621,1.567928,1.53434,1.499793,1.582551,1.54114,1.511713,1.582136
19.4896,1.460142,1.404717,1.520246,1.490072,1.437894,1.555202,1.518999,1.479061,1.572479,1.538423,1.510736,1.576043,1.543931,1.520848,1.575185
19.6420,1.494036,1.454472,1.540591,1.517449,1.480227,1.565989,1.549201,1.521119,1.589536,1.570856,1.551214,1.600363,1.570368,1.552317,1.597121
19.7944,1.513397,1.474879,1.563024,1.532038,1.496617,1.581192,1.56659,1.542101,1.60393,1.587033,1.573097,1.608714,1.578238,1.568521,1.592357
19.9468,1.559412,1.536451,1.592844,1.569233,1.547002,1.602998,1.588444,1.573063,1.612785,1.602708,1.596041,1.61328,1.602066,1.600308,1.604756
20.0992,1.614393,1.605823,1.628918,1.616145,1.60455,1.636444,1.620268,1.611586,1.635397,1.624765,1.623036,1.627681,1.626693,1.630874,1.619875
20.2516,1.628642,1.627617,1.63039,1.636917,1.634173,1.641836,1.64042,1.63939,1.64227,1.646175,1.648766,1.641537,1.656289,1.662119,1.645667
20.4040,1.620941,1.609294,1.641809,1.646796,1.640766,1.658421,1.657029,1.657063,1.656964,1.656946,1.662364,1.647015,1.658083,1.667733,1.640863
20.5564,1.619826,1.602957,1.651339,1.652974,1.645752,1.66747,1.663177,1.663041,1.663444,1.656766,1.66116,1.648653,1.65211,1.660264,1.637753
20.7088,1.61673,1.594855,1.659004,1.646457,1.634714,1.670334,1.654613,1.64906,1.66567,1.652395,1.650272,1.656453,1.656536,1.658154,1.653485
20.8612,1.6056,1.575784,1.664712,1.641777,1.622885,1.682362,1.659688,1.649217,1.682161,1.661919,1.657976,1.66992,1.66244,1.664468,1.658528
21.0136,1.616292,1.588871,1.672633,1.647785,1.631221,1.683568,1.66828,1.663304,1.678794,1.670733,1.675941,1.660596,1.663521,1.675386,1.642223
21.1660,1.626614,1.60722,1.665137,1.640736,1.629146,1.663597,1.649129,1.644452,1.658134,1.647357,1.647908,1.646348,1.64004,1.643944,1.633298
21.3184,1.610109,1.591367,1.644017,1.621743,1.608833,1.645224,1.630001,1.624729,1.639348,1.631633,1.634711,1.62647,1.628876,1.63847,1.613639
21.4708,1.598483,1.581645,1.626758,1.601006,1.588658,1.62126,1.607949,1.600844,1.619519,1.610273,1.610397,1.610078,1.604349,1.611811,1.593456
21.6232,1.584138,1.564619,1.615365,1.590997,1.576466,1.614122,1.598879,1.592909,1.608144,1.601484,1.606231,1.594523,1.597601,1.610877,1.57932
21.7756,1.549752,1.530586,1.575764,1.56427,1.550294,1.583879,1.572874,1.566312,1.582011,1.573699,1.577772,1.568337,1.570739,1.585974,1.551969
21.9280,1.512466,1.486063,1.543959,1.541999,1.530053,1.557019,1.556223,1.552549,1.560916,1.558663,1.55981,1.55722,1.562225,1.570539,1.551982
22.0804,1.481855,1.454268,1.51064,1.513661,1.500728,1.528136,1.527095,1.524938,1.529521,1.528234,1.531887,1.524209,1.535184,1.546889,1.522382
22.2328,1.424369,1.370432,1.472725,1.473932,1.449359,1.498343,1.502308,1.492937,1.512146,1.516784,1.520959,1.512397,1.53764,1.563459,1.510692
22.3852,1.396462,1.340461,1.440563,1.44785,1.419407,1.473421,1.47152,1.457846,1.484364,1.473147,1.467078,1.47872,1.476719,1.482799,1.471299
22.5376,1.359019,1.284749,1.410802,1.429285,1.392694,1.460521,1.46616,1.451339,1.479832,1.466627,1.458365,1.474075,1.4616,1.459179,1.463694
22.6900,1.342016,1.250189,1.404351,1.42306,1.386662,1.45323,1.468956,1.463407,1.473955,1.465518,1.467533,1.463775,1.44908,1.456896,1.442866
22.8424,1.302966,1.170361,1.38651,1.384021,1.325012,1.428213,1.433181,1.414599,1.44828,1.424439,1.404534,1.440084,1.395319,1.362262,1.419175
