#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0129
#BOTTOM:,204.3508
DEPTH_LSF,GR_RAB
m,gAPI
27.6583,73.41647
27.6888,74.23969
27.7192,75.06384
27.7497,75.28971
27.7802,75.5155
27.8107,75.74136
27.8412,75.9676
27.8716,76.19347
27.9021,76.41557
27.9326,76.63757
27.9631,76.85966
27.9936,77.08209
28.0240,77.30402
28.0545,77.41866
28.0850,77.53323
28.1155,77.64787
28.1460,77.76267
28.1764,77.87701
28.2069,77.77467
28.2374,77.67236
28.2679,77.57001
28.2984,77.46751
28.3288,77.36508
28.3593,77.19724
28.3898,77.02946
28.4203,76.86127
28.4508,76.69349
28.4812,76.52608
28.5117,76.77918
28.5422,77.03218
28.5727,77.28578
28.6032,77.53878
28.6336,77.79208
28.6641,78.2799
28.6946,78.76849
28.7251,79.2563
28.7556,79.7439
28.7860,80.23146
28.8165,80.34694
28.8470,80.4626
28.8775,80.57809
28.9080,80.69352
28.9384,80.80872
28.9689,80.40073
28.9994,79.9921
29.0299,79.58411
29.0604,79.1763
29.0908,78.76842
29.1213,78.64137
29.1518,78.51413
29.1823,78.38708
29.2128,78.2601
29.2432,78.13317
29.2737,78.51343
29.3042,78.89276
29.3347,79.27227
29.3652,79.6516
29.3956,80.03108
29.4261,80.1765
29.4566,80.32156
29.4871,80.46669
29.5176,80.61176
29.5480,80.75701
29.5785,80.81944
29.6090,80.88184
29.6395,80.94428
29.6700,81.00681
29.7004,81.06881
29.7309,80.88868
29.7614,80.70863
29.7919,80.5285
29.8224,80.34809
29.8528,80.1675
29.8833,79.70408
29.9138,79.24086
29.9443,78.77744
29.9748,78.31329
30.0052,77.85099
30.0357,78.16642
30.0662,78.48171
30.0967,78.79715
30.1272,79.11307
30.1576,79.42809
30.1881,79.42892
30.2186,79.42973
30.2491,79.43055
30.2796,79.43137
30.3100,79.43127
30.3405,78.62116
30.3710,77.81141
30.4015,76.99968
30.4320,76.18993
30.4624,75.38046
30.4929,75.23218
30.5234,75.08366
30.5539,74.93538
30.5844,74.78716
30.6148,74.63901
30.6453,74.64697
30.6758,74.65495
30.7063,74.66291
30.7368,74.67088
30.7672,74.67897
30.7977,74.8849
30.8282,75.09116
30.8587,75.29711
30.8892,75.50296
30.9196,75.70898
30.9501,76.06979
30.9806,76.43118
31.0111,76.79201
31.0416,77.15268
31.0720,77.51331
31.1025,77.32533
31.1330,77.13706
31.1635,76.94909
31.1940,76.76119
31.2244,76.57333
31.2549,76.98387
31.2854,77.39342
31.3159,77.80315
31.3464,78.21271
31.3768,78.62423
31.4073,79.51704
31.4378,80.40945
31.4683,81.30225
31.4988,82.19466
31.5292,83.08856
31.5597,83.61224
31.5902,84.13569
31.6207,84.65936
31.6512,85.18385
31.6816,85.70722
31.7121,86.05247
31.7426,86.39757
31.7731,86.74282
31.8036,87.08861
31.8340,87.43346
31.8645,87.52045
31.8950,87.60741
31.9255,87.6944
31.9560,87.78153
31.9864,87.86753
32.0169,87.24031
32.0474,86.61337
32.0779,85.98617
32.1084,85.35797
32.1388,84.73049
32.1693,83.89539
32.1998,83.06065
32.2303,82.22386
32.2608,81.38912
32.2912,80.55463
32.3217,80.29233
32.3522,80.03014
32.3827,79.7673
32.4132,79.50511
32.4436,79.24274
32.4741,78.90871
32.5046,78.57415
32.5351,78.24011
32.5656,77.90623
32.5960,77.57213
32.6265,77.15366
