#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,756.3170
DEPTH_LSF,GR_RAB
m,gAPI
31.3804,76.41895
31.4109,75.48063
31.4414,74.5365
31.4719,73.59068
31.5023,72.65402
31.5328,73.56435
31.5633,74.47562
31.5938,75.39256
31.6243,76.30382
31.6547,77.22073
31.6852,78.32848
31.7157,79.4297
31.7462,80.53777
31.7767,81.63898
31.8071,82.74689
31.8376,82.67497
31.8681,82.60236
31.8986,82.53044
31.9291,82.45782
31.9595,82.3859
31.9900,81.84919
32.0205,81.30872
32.0510,80.7735
32.0815,80.23305
32.1119,79.69781
32.1424,79.37967
32.1729,79.06441
32.2034,78.74721
32.2339,78.43195
32.2643,78.11474
32.2948,78.19845
32.3253,78.28258
32.3558,78.36723
32.3863,78.45135
32.4167,78.536
32.4472,78.83861
32.4777,79.14429
32.5082,79.44701
32.5387,79.75269
32.5691,80.05775
32.5996,80.29108
32.6301,80.5267
32.6606,80.76002
32.6911,80.99563
32.7215,81.22897
32.7520,81.23467
32.7825,81.23926
32.8130,81.24386
32.8435,81.24844
32.8739,81.25304
32.9044,81.10535
32.9349,80.95812
32.9654,80.80998
32.9959,80.66275
33.0263,80.51461
33.0568,80.34608
33.0873,80.17858
33.1178,80.01004
33.1483,79.84254
33.1787,79.67412
33.2092,79.68724
33.2397,79.7005
33.2702,79.71362
33.3007,79.72688
33.3311,79.74001
33.3616,80.14518
33.3921,80.54997
33.4226,80.95727
33.4531,81.3653
33.4835,81.76937
33.5140,82.40115
33.5445,83.02983
33.5750,83.66241
33.6055,84.29108
33.6359,84.92367
33.6664,85.50185
33.6969,86.07635
33.7274,86.65441
33.7579,87.22891
33.7883,87.80698
33.8188,88.31715
33.8493,88.83231
33.8798,89.34248
33.9103,89.85763
33.9407,90.36781
33.9712,90.91756
34.0017,91.46848
34.0322,92.01408
34.0627,92.56499
34.0931,93.11059
34.1236,93.67989
34.1541,94.24576
34.1846,94.81515
34.2151,95.38101
34.2455,95.95039
34.2760,96.33573
34.3065,96.71824
34.3370,97.10313
34.3675,97.48564
34.3979,97.87053
34.4284,97.82481
34.4589,97.77842
34.4894,97.73247
34.5199,97.68608
34.5503,97.63939
34.5808,97.3063
34.6113,96.96996
34.6418,96.63687
34.6723,96.30053
34.7027,95.96744
34.7332,95.61076
34.7637,95.2562
34.7942,94.89943
34.8247,94.54486
34.8551,94.1881
34.8856,93.86468
34.9161,93.54336
34.9466,93.22004
34.9771,92.89872
35.0075,92.57541
35.0380,92.28767
35.0685,92.00177
35.0990,91.71408
35.1295,91.42817
35.1599,91.14049
35.1904,90.8645
35.2209,90.5858
35.2514,90.30981
35.2819,90.03111
35.3123,89.75511
35.3428,89.4687
35.3733,89.18401
35.4038,88.89754
35.4343,88.61057
35.4647,88.32639
35.4952,88.03021
35.5257,87.73584
35.5562,87.43964
35.5867,87.14526
35.6171,86.84906
35.6476,86.52411
35.6781,86.20113
35.7086,85.87613
35.7391,85.55314
35.7695,85.22814
35.8000,84.90672
35.8305,84.58214
35.8610,84.26071
35.8915,83.93614
35.9219,83.6147
35.9524,83.37244
35.9829,83.13025
36.0134,82.89041
36.0439,82.64822
36.0743,82.40838
36.1048,82.26977
36.1353,82.13245
36.1658,81.99426
36.1963,81.85695
36.2267,81.71877
36.2572,81.63319
36.2877,81.54826
36.3182,81.46281
36.3487,81.37788
36.3791,81.29243
36.4096,81.31145
36.4401,81.33072
36.4706,81.34995
36.5011,81.36906
36.5315,81.38853
36.5620,81.58135
36.5925,81.77607
36.6230,81.9689
36.6535,82.16361
36.6839,82.35645
36.7144,82.61851
36.7449,82.87929
36.7754,83.14169
36.8059,83.40247
36.8363,83.66486
36.8668,83.91312
36.8973,84.15981
36.9278,84.40804
36.9583,84.65472
