#HOLE:,U1517A,,
#EXPEDITION:,372,,
#TOP:,0.4396,,
#BOTTOM:,205.4176,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
57.4372,1175.002006,11,1.455348
57.5896,1173.001787,11,1.428155
57.742,1167.002145,11,1.358087
57.8944,1172.00204,11,1.410075
58.0468,1174.001969,11,1.429325
58.1992,1175.002006,11,1.437194
58.3516,1172.002475,11,1.399581
58.504,1173.001932,11,1.407384
58.6564,1171.003308,11,1.381749
58.8088,1176.001318,11,1.434602
58.9612,1172.002185,11,1.386443
59.1136,1172.002185,11,1.38295
59.266,1172.00233,11,1.379525
59.4184,1174.002114,11,1.398381
59.5708,1174.002114,11,1.395161
59.7232,1174.002114,11,1.39215
59.8756,1173.002077,11,1.37792
60.028,1172.002185,11,1.363295
60.1804,1175.001861,11,1.39303
60.3328,1173.002367,11,1.36778
60.4852,1175.001861,11,1.386355
60.6376,1173.002512,11,1.361539
60.79,1175.002296,11,1.380641
60.9424,1176.002913,11,1.387231
61.0948,1181.001503,11,1.437992
61.2472,1176.002043,11,1.380827
61.3996,1176.002043,11,1.377856
61.552,1175.002296,11,1.364089
61.7044,1179.002154,11,1.403776
61.8568,1175.002296,11,1.358107
62.0092,1179.001864,11,1.397138
62.1616,1179.002154,11,1.393564
62.314,1179.002154,11,1.391032
62.4664,1177.00208,11,1.366915
62.6188,1177.002515,11,1.363353
62.7712,1179.002299,11,1.381017
62.9236,1180.002191,11,1.388514
63.076,1181.001648,11,1.395712
63.2284,1177.00237,11,1.35096
63.3808,1180.002046,11,1.379056
63.5332,1179.002154,11,1.365651
63.6856,1178.002117,11,1.352426
63.838,1179.002009,11,1.359771
63.9904,1179.002154,11,1.356426
64.1428,1179.002154,11,1.353275
64.2952,1181.001938,11,1.371064
64.4476,1183.000997,11,1.388264
64.6,1178.002697,11,1.334662
64.7524,1181.001793,11,1.362097
64.9048,1179.002879,11,1.339338
65.0572,1184.002049,11,1.387248
65.2096,1183.002302,11,1.375075
65.362,1184.002194,11,1.380288
65.5144,1186.002123,11,1.397031
65.6668,1182.002265,11,1.354153
65.8192,1185.002086,11,1.382128
65.9716,1181.002373,11,1.338425
66.124,1181.002083,11,1.335285
66.2764,1181.002083,11,1.33283
66.4288,1182.00328,11,1.339884
66.5812,1187.001725,11,1.386166
66.7336,1185.002231,11,1.363488
66.886,1185.001796,11,1.360577
67.0384,1182.002555,11,1.329161
67.1908,1187.002015,11,1.375445
67.3432,1185.002231,11,1.351932
67.4956,1186.002123,11,1.359192
67.648,1183.002302,11,1.32773
67.8004,1189.001799,11,1.3824
67.9528,1187.002305,11,1.359831
68.1052,1189.001799,11,1.37628
68.2576,1187.00245,11,1.354322
68.41,1185.002666,11,1.332617
68.5624,1187.002015,11,1.349219
68.7148,1186.002993,11,1.336315
68.8672,1192.002345,11,1.390728
69.0196,1193.001947,11,1.398343
69.172,1191.001873,11,1.376272
69.3244,1186.002123,11,1.325308
69.4768,1186.002123,11,1.322343
69.6292,1191.002018,11,1.366949
69.7816,1191.002163,11,1.364191
69.934,1190.002271,11,1.352192
70.0864,1188.002342,11,1.330593
70.2388,1193.001367,11,1.374905
70.3912,1190.002126,11,1.344397
70.5436,1190.002706,11,1.340969
70.696,1193.001947,11,1.366449
70.8484,1192.002055,11,1.354912
71.0008,1191.002453,11,1.342366
71.1532,1194.002129,11,1.367371
71.3056,1193.002092,11,1.35623
71.458,1194.002129,11,1.362272
71.6104,1191.002308,11,1.331767
71.7628,1196.001913,11,1.375574
71.9152,1193.002382,11,1.344636
72.0676,1197.00166,11,1.378554
72.22,1198.001697,11,1.385946
72.3724,1196.001333,11,1.36435
72.5248,1192.002925,11,1.32481
72.6772,1196.002058,11,1.358818
72.8296,1195.001876,11,1.346776
72.982,1192.002345,11,1.317191
73.1344,1193.002237,11,1.323371
73.2868,1197.002095,11,1.356898
73.4392,1195.002166,11,1.336222
73.5916,1197.00195,11,1.352673
73.744,1194.002419,11,1.322998
73.8964,1195.002021,11,1.328661
74.0488,1195.002166,11,1.325913
74.2012,1200.001336,11,1.36891
74.3536,1196.002638,11,1.330046
74.506,1198.001407,11,1.344877
74.6584,1194.002999,11,1.306995
74.8108,1200.002061,11,1.357984
74.9632,1199.002024,11,1.346328
75.1156,1195.002021,11,1.308827
75.268,1193.002092,11,1.288471
75.4204,1197.00195,11,1.320692
75.5728,1196.002203,11,1.309442
75.7252,1198.001987,11,1.324866
75.8776,1197.00224,11,1.313267
76.03,1199.002024,11,1.32857
76.1824,1198.001842,11,1.318381
76.3348,1197.00253,11,1.306068
76.4872,1199.002314,11,1.320808
76.6396,1200.002351,11,1.326853
76.792,1201.002098,11,1.33305
76.9444,1199.002314,11,1.313551
77.0968,1202.00228,11,1.336697
77.2492,1205.002246,11,1.359948
77.4016,1203.002172,11,1.340757
77.554,1204.002209,11,1.346454
77.7064,1206.001993,11,1.361398
77.8588,1199.003039,11,1.299286
78.0112,1204.001339,11,1.339184
78.1636,1201.003693,11,1.311047
78.316,1208.001632,11,1.367946
78.4684,1205.002971,11,1.340023
78.6208,1210.001561,11,1.379747
78.7732,1205.002101,11,1.335744
78.9256,1204.002354,11,1.324163
79.078,1206.002138,11,1.339086
79.2304,1206.002138,11,1.336411
79.3828,1207.002175,11,1.34231
79.5352,1207.002175,11,1.339713
79.6876,1204.002499,11,1.313026
79.84,1207.00174,11,1.33487
79.9924,1209.002249,11,1.349294
80.1448,1209.002249,11,1.346825
80.2972,1209.002249,11,1.344656
80.4496,1209.001959,11,1.342164
80.602,1207.002465,11,1.323385
80.7544,1209.002394,11,1.337308
80.9068,1210.002141,11,1.343121
81.0592,1210.002141,11,1.341044
81.2116,1209.002249,11,1.330307
81.364,1210.002141,11,1.336128
81.5164,1209.002394,11,1.325476
81.6688,1210.001996,11,1.332433
81.8212,1210.002141,11,1.32876
81.9736,1217.001965,11,1.383252
82.126,1216.001638,11,1.373848
82.2784,1214.001274,11,1.354192
82.4308,1209.002684,11,1.311778
82.5832,1212.00236,11,1.333745
82.7356,1213.002397,11,1.339269
82.888,1215.002036,11,1.352895
83.0404,1212.002215,11,1.326503
83.1928,1213.002252,11,1.332191
83.3452,1217.001965,11,1.361831
83.4976,1212.00265,11,1.319618
83.65,1214.001854,11,1.333369
83.8024,1216.001783,11,1.346721
83.9548,1215.001891,11,1.336832
84.1072,1214.002724,11,1.326375
84.2596,1217.00182,11,1.347796
84.412,1214.002289,11,1.321533
84.5644,1215.002326,11,1.327932
84.7168,1217.002255,11,1.340795
84.8692,1218.002147,11,1.346346
85.0216,1217.002255,11,1.336159
85.174,1214.002289,11,1.310876
85.3264,1219.001894,11,1.347501
85.4788,1218.002292,11,1.33735
85.6312,1222.001715,11,1.366088
85.7836,1221.002403,11,1.356391
85.936,1217.002255,11,1.32278
86.0884,1217.0024,11,1.320887
86.2408,1218.002002,11,1.326081
86.3932,1217.0024,11,1.316152
86.5456,1218.002437,11,1.32175
86.698,1221.001968,11,1.343164
86.8504,1216.002073,11,1.301685
87.0028,1219.002184,11,1.323049
87.1552,1216.002218,11,1.298226
87.3076,1220.001931,11,1.326219
87.46,1219.002329,11,1.316555
87.6124,1220.002076,11,1.321725
87.7648,1221.002258,11,1.327325
87.9172,1221.001678,11,1.324894
88.0696,1218.002147,11,1.300014
88.222,1218.002437,11,1.297682
88.3744,1220.002366,11,1.310706
88.5268,1222.00215,11,1.323674
88.6792,1220.002221,11,1.306315
88.8316,1220.002221,11,1.304245
88.984,1222.002295,11,1.317259
89.1364,1220.002221,11,1.299982
89.2888,1226.001863,11,1.34307
89.4412,1225.002406,11,1.333215
89.5936,1219.003054,11,1.286645
89.746,1223.001897,12,1.313897
89.8984,1222.00215,12,1.304473
90.0508,1221.001968,12,1.295063
90.2032,1219.002039,12,1.278003
90.3556,1218.003017,12,1.268525
90.508,1227.0019,12,1.334284
90.6604,1223.002042,12,1.301422
90.8128,1221.002258,12,1.284512
90.9652,1224.002079,12,1.304692
91.1176,1221.002403,12,1.28066
91.27,1223.002042,12,1.293213
91.4224,1223.002187,12,1.291155
91.5748,1223.002187,12,1.289108
91.7272,1224.001934,12,1.294247
91.8796,1223.002187,12,1.284871
92.032,1223.002477,12,1.282959
92.1844,1225.002116,12,1.29557
92.3368,1224.002514,12,1.286542
92.4892,1227.002045,12,1.305835
92.6416,1225.002261,12,1.289364
92.794,1223.002187,12,1.272794
92.9464,1225.002261,12,1.285537
93.0988,1224.002224,12,1.276024
93.2512,1227.0019,12,1.296078
93.4036,1228.002082,12,1.300811
93.556,1228.002227,12,1.298955
93.7084,1227.002625,11,1.289543
93.8608,1229.002264,11,1.301848
94.0132,1230.002301,11,1.307433
94.1656,1230.001721,11,1.305197
94.318,1225.002261,11,1.267549
94.4704,1225.002696,11,1.265785
94.6228,1232.00223,11,1.313129
94.7752,1233.002122,11,1.318207
94.9276,1229.002264,11,1.288024
95.08,1229.002119,11,1.286369
95.2324,1230.002156,11,1.291396
95.3848,1235.001616,11,1.324764
95.5372,1235.001326,11,1.322201
95.6896,1231.001178,11,1.292306
95.842,1226.002878,11,1.255622
95.9944,1229.002699,11,1.274332
96.1468,1233.001977,11,1.300299
96.2992,1232.002085,11,1.291654
96.4516,1231.002338,11,1.28289
96.604,1234.002304,11,1.30133
96.7564,1230.002301,11,1.271629
96.9088,1234.002159,11,1.297476
97.0612,1234.002304,11,1.295704
97.2136,1233.002267,11,1.286585
