#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
18.3959,1.142209,1.089766,1.151578,1.159761,1.130321,1.165604,1.178335,1.154822,1.183624,1.186736,1.165834,1.191693,1.183611,1.175793,1.18539
18.5483,1.152086,1.095856,1.163039,1.164125,1.137871,1.169483,1.173867,1.163772,1.176023,1.179398,1.174441,1.18049,1.181733,1.182391,1.181587
18.7007,1.123889,1.058006,1.134092,1.150821,1.099718,1.160599,1.170682,1.136743,1.178033,1.185476,1.16444,1.190423,1.197196,1.184043,1.200495
18.8531,1.118619,1.059935,1.127169,1.139701,1.099367,1.146631,1.152246,1.127132,1.15692,1.16264,1.144919,1.166172,1.174783,1.160911,1.177783
19.0055,1.134373,1.082811,1.142975,1.156147,1.133817,1.160413,1.167882,1.169991,1.167457,1.175345,1.192702,1.171746,1.184537,1.212772,1.178406
19.1579,1.109092,1.063716,1.114987,1.130165,1.099355,1.134972,1.14183,1.123312,1.144969,1.14909,1.136883,1.151265,1.156806,1.14849,1.15837
19.3103,1.085221,1.020426,1.091768,1.102075,1.046009,1.108928,1.120981,1.072301,1.128135,1.136317,1.08861,1.144366,1.143399,1.092248,1.152612
19.4627,1.097749,1.03086,1.10565,1.110394,1.057163,1.11748,1.12257,1.081882,1.128573,1.130665,1.094443,1.136386,1.133186,1.094487,1.139457
19.6151,1.091079,1.030111,1.097679,1.106069,1.051835,1.112977,1.119912,1.075753,1.126295,1.132069,1.091163,1.138654,1.140348,1.094207,1.148387
19.7675,1.093546,1.017768,1.102169,1.108898,1.046844,1.117131,1.126089,1.071361,1.134601,1.138912,1.083861,1.148514,1.143673,1.086604,1.154067
19.9199,1.117862,1.075388,1.123868,1.134199,1.099755,1.139796,1.146084,1.119274,1.150846,1.156664,1.137376,1.160348,1.166858,1.156348,1.168995
20.0723,1.123839,1.028501,1.139265,1.150346,1.098355,1.16027,1.167856,1.130885,1.175738,1.176234,1.149563,1.182175,1.182317,1.18658,1.181372
20.2247,1.14601,1.065056,1.161614,1.178047,1.123238,1.190985,1.199304,1.163656,1.208705,1.216311,1.192507,1.223148,1.234699,1.223303,1.238265
20.3771,1.127383,1.015426,1.146618,1.14967,1.099105,1.159248,1.164659,1.144699,1.16871,1.171075,1.160827,1.173222,1.174766,1.180841,1.173491
20.5295,1.127375,1.015405,1.146612,1.149658,1.099095,1.159234,1.164643,1.144691,1.168692,1.171055,1.160813,1.1732,1.17474,1.180822,1.173463
20.6819,1.139643,1.04183,1.157997,1.172243,1.10608,1.187512,1.194395,1.156758,1.204043,1.200479,1.189825,1.203196,1.197246,1.214546,1.193106
20.8343,1.130029,1.060088,1.141563,1.170271,1.119012,1.181648,1.198144,1.163394,1.207228,1.216788,1.195012,1.223039,1.232182,1.224199,1.234631
20.9867,1.118676,0.9977222,1.138047,1.153482,1.065677,1.17168,1.181915,1.122559,1.196424,1.198941,1.159267,1.209452,1.20683,1.183019,1.213285
21.1391,1.152983,1.079471,1.167805,1.179999,1.11012,1.19716,1.197161,1.142932,1.211726,1.208824,1.161019,1.222504,1.218153,1.160029,1.23612
21.2915,1.155509,1.088386,1.169176,1.177655,1.116868,1.19211,1.19726,1.184738,1.200398,1.214307,1.215525,1.213975,1.222174,1.168941,1.238882
21.4439,1.12051,0.9780684,1.144582,1.159244,1.045154,1.18517,1.184472,1.094623,1.208081,1.200119,1.127396,1.220717,1.215161,1.16162,1.231269
21.5963,1.144418,1.059484,1.160675,1.169412,1.106085,1.183659,1.190529,1.142073,1.20286,1.206771,1.161742,1.21943,1.218048,1.172128,1.231912
21.7487,1.123656,0.9962668,1.145314,1.162394,1.061247,1.185417,1.188977,1.109212,1.210208,1.206037,1.145226,1.223545,1.220607,1.182942,1.231983
