#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,325.0921
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
39.4945,7.150207,4.520486,0.03189994,1.262061,0.3301929,-0.0436
39.6469,6.725644,4.574522,0.04195897,1.220488,0.2680106,-0.0436
39.7993,6.390317,4.412285,0.04275476,1.163831,0.2413694,-0.0436
39.9517,5.953775,4.080685,0.03941933,1.077081,0.2346907,-0.0436
40.1041,5.560137,3.715947,0.03723368,0.972978,0.2350339,-0.0436
40.2565,5.088613,3.137284,0.03026502,0.8283147,0.2520849,-0.0436
40.4089,4.663656,2.75337,0.02368068,0.7438182,0.2579542,-0.0436
40.5613,4.646781,2.759518,0.02408456,0.7434244,0.2510891,-0.0436
40.7137,4.639418,2.666797,0.02512996,0.7075865,0.2513043,-0.0436
40.8661,4.795657,2.579628,0.0294406,0.6544116,0.2848324,-0.0436
41.0185,4.78761,2.636895,0.03496563,0.6404185,0.2780411,-0.0436
41.1709,4.873054,2.891649,0.03554801,0.7186579,0.257646,-0.0436
41.3233,4.989106,3.080125,0.0413221,0.7452598,0.2501059,-0.0436
41.4757,4.920702,3.400672,0.05337799,0.7774126,0.2026911,-0.0436
41.6281,4.785397,3.447106,0.05919584,0.7582332,0.1875185,-0.0436
41.7805,4.913533,3.470985,0.06358977,0.7401615,0.2124004,-0.0436
41.9329,5.208897,3.728948,0.07427712,0.7602687,0.2286225,-0.0436
42.0853,5.352403,3.924158,0.08068874,0.785296,0.2313609,-0.0436
42.2377,5.481927,4.036993,0.08145541,0.8169711,0.2492349,-0.0436
42.3901,5.497108,4.120124,0.07975934,0.853545,0.2573934,-0.0436
42.5425,5.603076,4.394825,0.08077281,0.9356533,0.2408192,-0.0436
42.6949,5.084292,4.178978,0.07553183,0.8971584,0.1914233,-0.0436
42.8473,4.851579,4.043102,0.07396979,0.862755,0.1761685,-0.0436
42.9997,4.774485,3.789598,0.06656966,0.8248317,0.2092058,-0.0436
43.1521,4.968007,3.642905,0.05731707,0.8319867,0.2599168,-0.0436
43.3045,5.040449,3.729889,0.0539592,0.8795244,0.2509285,-0.0436
43.4569,4.974659,3.676125,0.0469397,0.9033899,0.2459816,-0.0436
43.6093,5.152802,3.676384,0.03852236,0.9527533,0.2636621,-0.0436
43.7617,5.126711,3.555921,0.03170616,0.9540511,0.26825,-0.0436
43.9141,5.150877,3.477102,0.02943976,0.9420586,0.2674439,-0.0436
44.0665,5.291297,3.43418,0.03202841,0.9131465,0.2809885,-0.0436
44.2189,5.422528,3.388957,0.02656637,0.9306306,0.2991017,-0.0436
44.3713,5.242642,2.797832,0.01519741,0.8077349,0.3540245,-0.0436
44.5237,4.556592,2.244617,0.01012618,0.660119,0.3283435,-0.0436
44.6761,4.266072,2.362079,0.01556259,0.6659374,0.2609041,-0.0436
44.8285,4.569237,2.698457,0.02155475,0.7386652,0.2444327,-0.0436
44.9809,4.765866,2.562346,0.01116518,0.7558687,0.286926,-0.0436
45.1333,4.895067,2.440758,0.008755731,0.7310058,0.3263876,-0.0436
45.2857,4.75449,2.458362,0.01701725,0.6882797,0.3091013,-0.0436
45.4381,4.729228,2.323764,0.02118096,0.6207635,0.331732,-0.0436
45.5905,4.874965,2.250057,0.02328267,0.5848358,0.3728142,-0.0436
45.7429,4.843064,2.126012,0.02024269,0.5628772,0.3882293,-0.0436
45.8953,4.988709,1.882179,0.02164662,0.4765085,0.4366114,-0.0436
46.0477,5.269164,1.967128,0.01830279,0.5233117,0.4579562,-0.0436
46.2001,5.765119,2.151386,0.01653048,0.5927433,0.4979808,-0.0436
46.3525,5.86184,1.803822,0.005460836,0.5461571,0.562462,-0.0436
46.5049,5.48946,1.365885,0.006428494,0.4001323,0.5834777,-0.0436
46.6573,5.069327,1.361661,0.01962377,0.3215246,0.5225305,-0.0436
46.8097,4.956387,1.680501,0.0135377,0.4593454,0.4664884,-0.0436
46.9621,4.699278,1.57192,0.0005918968,0.500338,0.4442409,-0.0436
47.1145,4.520576,1.423794,-0.005258203,0.4871134,0.4334197,-0.0436
47.2669,4.208746,1.443823,-0.004621395,0.4898045,0.3892301,-0.0436
47.4193,4.36846,1.398152,-0.01196843,0.5181813,0.428316,-0.0436
47.5717,4.110027,1.461614,-0.01080145,0.5316886,0.3810048,-0.0436
47.7241,3.984448,1.369718,-0.00897,0.4915136,0.3728447,-0.0436
47.8765,3.890988,1.186543,-0.01137124,0.4468637,0.3843502,-0.0436
48.0289,4.207572,1.455878,-0.0174597,0.568832,0.3959084,-0.0436
48.1813,5.042723,1.613838,-0.03477269,0.7208201,0.4957667,-0.0436
48.3337,5.62215,1.880797,-0.03079367,0.7830849,0.5506998,-0.0436
48.4861,5.588152,1.889539,-0.01199188,0.6758089,0.512785,-0.0436
48.6385,5.179579,1.927965,0.009823058,0.5604059,0.4274756,-0.0436
48.7909,4.838349,1.911511,0.01966494,0.4975118,0.3819084,-0.0436
48.9433,5.664343,2.239857,0.02927082,0.5465083,0.4403697,-0.0436
49.0957,7.532978,3.021792,0.04476967,0.7063795,0.5877745,-0.0436
49.2481,10.21982,4.193779,0.07482246,0.9060552,0.8207276,-0.0436
49.4005,12.33379,5.709488,0.1131863,1.167236,0.9360138,-0.0436
49.5529,13.74837,6.777155,0.1406279,1.348765,1.000877,-0.0436
49.7053,14.61093,6.632173,0.1387508,1.313287,1.116557,-0.0436
49.8577,15.62596,8.157734,0.1741199,1.595159,1.03405,-0.0436
50.0101,15.76448,8.278055,0.1789095,1.60568,1.020711,-0.0436
50.1625,15.75081,8.322971,0.1735409,1.651508,1.060175,-0.0436
50.3149,15.70568,8.846105,0.1739836,1.816581,1.005186,-0.0436
50.4673,16.20852,9.45582,0.1740307,2.01172,0.991985,-0.0436
50.6197,15.97008,9.661653,0.188305,1.994119,0.9560494,-0.0436
50.7721,16.0523,9.685251,0.192586,1.976619,0.9765926,-0.0436
50.9245,14.33144,8.426686,0.1536751,1.801055,0.8969259,-0.0436
51.0769,14.68866,8.659775,0.1464476,1.918075,0.8495346,-0.0436
51.2293,15.30189,8.298502,0.1280218,1.910163,0.9619305,-0.0436
51.3817,16.75772,9.491014,0.1821665,1.975368,0.9859122,-0.0436
51.5341,16.78214,9.452347,0.1919505,1.905693,0.9720092,-0.0436
51.6865,16.43929,9.284121,0.1934316,1.843105,0.947346,-0.0436
51.8389,16.26683,9.090611,0.1929216,1.78407,0.9202688,-0.0436
51.9913,16.76486,8.817512,0.1823087,1.758676,1.008237,-0.0436
52.1437,17.51594,8.992829,0.1983937,1.720693,1.043849,-0.0436
52.2961,18.12849,9.156123,0.2027362,1.747606,1.081252,-0.0436
52.4485,17.10795,9.223015,0.2016156,1.775605,0.8949673,-0.0436
52.6009,16.3785,9.467257,0.1953359,1.890651,0.758348,-0.0436
